248	['city', 'rest']	0.019%	хургада отдых	2
249	['acm_hostel', 'poi_metro_station_spb']	0.019%	хостел адмиралтейский	2
250	['acm_hostel', 'city', 'geo_oblast', 'poi_metro_station_spb']	0.019%	хостелы в пушкино московской области	5
251	['acm_gost', 'poi_avenue']	0.019%	гостиницы на невском	5
252	['acm_gost', 'city', 'poi_metro', 'price', 'price_cheap', 'space_near']	0.019%	гостиницы москва недорого цены рядом с метро	16
253	['acm_gost', 'city', 'stars_4']	0.019%	гостиницы тобольска 4 звезды	1
254	['city', 'country', 'map']	0.019%	казбеги грузия на карте	1
255	['acm_gost', 'poi_metro', 'poi_metro_station', 'price_cheap']	0.019%	гостиницы недорого метро кузнецкий мост	2
256	['amn_spa', 'city']	0.019%	спа евпатория	2
257	['country', 'date_month', 'date_year', 'price', 'tour']	0.019%	тур в египет в ноябре 2015 цены	3
258	['acm_gost', 'acm_gost_popular', 'city', 'map']	0.019%	санкт-петербург гостиница азимут на карте	2
259	['city', 'geo_oblast', 'price', 'tickets', 'transport_train']	0.018%	сколько стоит билет от новосибирска до москвы на поезде	2
260	['acm_hotel', 'city', 'poi_metro', 'poi_metro_station', 'space_near']	0.018%	отели около станции метро строгино в москве	2
261	['acm_hostel', 'city', 'poi_metro_station', 'poi_metro_station_spb']	0.018%	хостел на ленинском проспекте москва	6
262	['acm_hotel', 'city', 'country', 'hot', 'stars_5']	0.018%	египет хургада отели 5 звезд горящие путевки	17
263	['acm_gost', 'econom_class', 'geo_oblast']	0.018%	гостиницы в курске эконом класса	5
264	['action_buy', 'country', 'wh_what']	0.018%	что купить в италии	4
265	['acm_hotel', 'geo_oblast', 'price_cheap']	0.018%	недорогие отели новосибирска	2
266	['acm_gost', 'city', 'econom_class', 'poi_metro', 'space_near']	0.018%	гостиницы в москве эконом класса рядом с метро	16
267	['acm_gost', 'city', 'poi_olympic_park']	0.018%	гостиницы в олимпийском парке сочи	5
268	['acm_gost', 'acm_hotel', 'city', 'price_cheap']	0.018%	недорогие гостиницы и отели в москве	2
269	['city', 'poi_metro', 'poi_metro_station', 'space_near']	0.018%	ближайшее метро к аэропорту внуково	3
